item_id,snapshot_date,item_name,category,criticality_level,supplier_id,supplier_name,current_on_hand,safety_stock,reorder_point,moq,holding_cost,stockout_penalty,avg_lead_time_days,reliability_score,variability_index,avg_daily_demand,demand_std_dev,total_recent_demand,demand_variability_class,open_sales_order_qty,open_purchase_order_qty,next_po_arrival_date,days_until_next_po_arrival,net_available_inventory,days_of_supply,lead_time_demand,lead_time_class,supplier_reliability_class,stockout_risk_class,stockout_risk_probability,forecast_demand_next_period,feature_notes
627,2026-03-08,ED7-12,Part,high,1913,Taizhou Oute Tools Manufacturing Co. Ltd,168,1000,1000,1000,0.02,0.0,120.0,1.0,10.0,2.0,0.0,2.0,low,0.0,425.0,,,593.0,296.5,240.0,long,high,Low,0.0006138660511291912,60.0,Inventory position currently adequate relative to projected demand and replenishment window.
671,2026-03-08,RLSS10163-1,Kit,high,2061,"Jiangmen Shun Ming Household Co., Ltd (Alibec)",127,1000,1000,1000,0.5,0.0,120.0,1.0,10.0,2.0,0.0,2.0,low,0.0,450.0,,,577.0,288.5,240.0,long,high,Low,0.0006287132074072081,60.0,Inventory position currently adequate relative to projected demand and replenishment window.
673,2026-03-08,RLSS10163-2,Kit,high,2061,"Jiangmen Shun Ming Household Co., Ltd (Alibec)",20,1000,1000,1000,0.5,0.0,120.0,1.0,10.0,0.0,0.0,0.0,low,0.0,25.0,,,45.0,999.0,0.0,long,high,Low,3.281417335692474e-06,0.0,Inventory position currently adequate relative to projected demand and replenishment window.
678,2026-03-08,RP17205,Part,med,1913,Taizhou Oute Tools Manufacturing Co. Ltd,3,250,250,1000,0.02,0.0,120.0,1.0,10.0,0.0,0.0,0.0,low,0.0,0.0,,,3.0,999.0,0.0,long,high,Low,3.277301961397943e-06,0.0,Inventory position currently adequate relative to projected demand and replenishment window.
689,2026-03-08,RS90109,String Trimmer Spool,high,2065,"Zhongshan Heli Manufacturing Co., Ltd",6084,1000,1006,500,0.05,0.0,120.0,1.0,10.0,0.0,0.0,0.0,low,0.0,28500.0,,,34584.0,999.0,0.0,long,high,Low,1.2546444334705302e-11,0.0,Inventory position currently adequate relative to projected demand and replenishment window.
699,2026-03-08,RTC00020,Part,high,1913,Taizhou Oute Tools Manufacturing Co. Ltd,0,1000,1000,1000,0.02,0.0,120.0,1.0,10.0,0.0,0.0,0.0,low,0.0,50.0,,,50.0,999.0,0.0,long,high,Low,3.2825638951641585e-06,0.0,Inventory position currently adequate relative to projected demand and replenishment window.
704,2026-03-08,RTC70040-1,Part,low,1913,Taizhou Oute Tools Manufacturing Co. Ltd,0,500,500,1000,0.02,0.0,120.0,1.0,10.0,0.0,0.0,0.0,low,0.0,10.0,,,10.0,999.0,0.0,long,high,Low,3.278115526338515e-06,0.0,Inventory position currently adequate relative to projected demand and replenishment window.
713,2026-03-08,RTC70040-3,Part,high,1913,Taizhou Oute Tools Manufacturing Co. Ltd,8,1000,1000,1000,0.02,0.0,120.0,1.0,10.0,0.0,0.0,0.0,low,0.0,10.0,,,18.0,999.0,0.0,long,high,Low,3.278872295545111e-06,0.0,Inventory position currently adequate relative to projected demand and replenishment window.
715,2026-03-08,RTC70040-31A,Part,low,1913,Taizhou Oute Tools Manufacturing Co. Ltd,0,500,500,1000,0.02,0.0,120.0,1.0,10.0,0.0,0.0,0.0,low,0.0,10.0,,,10.0,999.0,0.0,long,high,Low,3.278115526338515e-06,0.0,Inventory position currently adequate relative to projected demand and replenishment window.
765,2026-03-08,R8102-629901,Part,high,1913,Taizhou Oute Tools Manufacturing Co. Ltd,6,1000,1000,1000,0.02,0.0,120.0,1.0,10.0,0.0,0.0,0.0,low,0.0,50.0,,,56.0,999.0,0.0,long,high,Low,3.2831440240326036e-06,0.0,Inventory position currently adequate relative to projected demand and replenishment window.
1114,2026-03-08,SN71018,Snow Thrower,high,1977,"Cixi Huazhijie Plastic Product Co., Ltd",2,1000,1000,500,1.62,0.0,120.0,1.0,10.0,0.0,0.0,0.0,low,0.0,459.0,,,461.0,999.0,0.0,long,high,Low,3.32769800913118e-06,0.0,Inventory position currently adequate relative to projected demand and replenishment window.
1142,2026-03-08,CVP41810,Pole Saw/Hedge Trimmer,high,44830,"Shenzhen Lidewei Supply Chain Co., Ltd",993,1000,1001,500,0.75,0.0,120.0,1.0,10.0,1.0,0.0,7.0,low,1.0,18620.0,,,19612.0,19612.0,120.0,long,high,Low,0.0,30.0,Inventory position currently adequate relative to projected demand and replenishment window.
1147,2026-03-08,R8020-740206,Part,high,1913,Taizhou Oute Tools Manufacturing Co. Ltd,72,1000,1000,1000,0.02,0.0,120.0,1.0,10.0,3.0,1.4142135623730951,6.0,low,2.0,2350.0,,,2420.0,806.6666666666666,360.0,long,high,Low,2.8913278333712746e-05,90.0,Inventory position currently adequate relative to projected demand and replenishment window.
1159,2026-03-08,31035,Sharpening Compound,low,3514,Jiaxing Yat Trading Co. Ltd,3725,500,507,500,0.5,0.0,120.0,1.0,10.0,2.0,0.0,2.0,low,1.0,12880.0,,,16604.0,8302.0,240.0,long,high,Low,1.6012320692724572e-206,60.0,Inventory position currently adequate relative to projected demand and replenishment window.
1325,2026-03-08,CHL90040,Battery Charger,med,2053,Zhejiang Top Power Technology,0,250,250,500,0.15,0.0,120.0,1.0,10.0,0.0,0.0,0.0,low,0.0,25.0,,,25.0,999.0,0.0,long,high,Low,3.2797847671175045e-06,0.0,Inventory position currently adequate relative to projected demand and replenishment window.
1985,2026-03-08,HD-PD,Misc.,high,3514,Jiaxing Yat Trading Co. Ltd,51,1000,1000,500,0.02,0.0,120.0,1.0,10.0,0.0,0.0,0.0,low,1.0,100.0,,,150.0,999.0,0.0,long,high,Low,3.2889445297793567e-06,0.0,Inventory position currently adequate relative to projected demand and replenishment window.
2010,2026-03-08,1815-18LV,Reel Mower,high,1039,Zhejiang Saige Garden Machinery Co,0,1000,1000,500,1.5,0.0,120.0,1.0,10.0,0.0,0.0,0.0,low,0.0,7400.0,,,7400.0,999.0,0.0,long,high,Low,3.888009826312483e-06,0.0,Inventory position currently adequate relative to projected demand and replenishment window.
2080,2026-03-08,RTC00043,Part,med,1913,Taizhou Oute Tools Manufacturing Co. Ltd,36,250,250,1000,0.02,0.0,120.0,1.0,10.0,0.0,0.0,0.0,low,0.0,50.0,,,86.0,999.0,0.0,long,high,Low,3.2848784739952966e-06,0.0,Inventory position currently adequate relative to projected demand and replenishment window.
2194,2026-03-08,1819-18EW,Reel Mower,low,1039,Zhejiang Saige Garden Machinery Co,0,500,500,500,1.5,0.0,120.0,1.0,10.0,0.0,0.0,0.0,low,0.0,3799.0,,,3799.0,999.0,0.0,long,high,Low,3.6503587699173266e-06,0.0,Inventory position currently adequate relative to projected demand and replenishment window.
2195,2026-03-08,TC70025,Tiller/Cultivator,med,4279,Ningbo Joyo Garden Tools Co Ltd,4062,250,266,500,1.75,0.0,120.0,1.0,10.0,3.5454545454545454,9.670282005556283,273.0,high,128.0,61272.0,,,65206.0,18391.4358974359,425.45454545454544,long,high,Low,0.0,106.36363636363636,Inventory position currently adequate relative to projected demand and replenishment window.
2290,2026-03-08,SN18-SBK-1,Kit,high,2061,"Jiangmen Shun Ming Household Co., Ltd (Alibec)",7,1000,1000,1000,0.5,0.0,120.0,1.0,10.0,1.0,0.0,3.0,low,0.0,450.0,,,457.0,457.0,120.0,long,high,Low,0.0003408866906564275,30.0,Inventory position currently adequate relative to projected demand and replenishment window.
2291,2026-03-08,SN18-AK-1,Kit,high,2061,"Jiangmen Shun Ming Household Co., Ltd (Alibec)",0,1000,1000,1000,0.5,0.0,120.0,1.0,10.0,1.0,0.0,16.0,low,0.0,175.0,,,175.0,175.0,120.0,long,high,Low,0.0007587694245997897,30.0,Inventory position currently adequate relative to projected demand and replenishment window.
2292,2026-03-08,SN4018-BELT,Kit,high,2061,"Jiangmen Shun Ming Household Co., Ltd (Alibec)",24,1000,1000,1000,0.5,0.0,120.0,1.0,10.0,1.5,0.7071067811865476,3.0,low,4.0,210.0,,,230.0,153.33333333333334,180.0,long,high,Low,0.0007726018441644132,45.0,Inventory position currently adequate relative to projected demand and replenishment window.
2355,2026-03-08,SK-NC,Part,low,1913,Taizhou Oute Tools Manufacturing Co. Ltd,0,500,500,1000,0.02,0.0,120.0,1.0,10.0,0.0,0.0,0.0,low,0.0,12200.0,,,12200.0,999.0,0.0,long,high,Low,3.985441547370066e-06,0.0,Inventory position currently adequate relative to projected demand and replenishment window.
2383,2026-03-08,RTC70010-16-2,Part,low,1913,Taizhou Oute Tools Manufacturing Co. Ltd,0,500,500,1000,0.02,0.0,120.0,1.0,10.0,0.0,0.0,0.0,low,0.0,50.0,,,50.0,999.0,0.0,long,high,Low,3.2825638951641585e-06,0.0,Inventory position currently adequate relative to projected demand and replenishment window.
2390,2026-03-08,RTC700SET,Part,low,1913,Taizhou Oute Tools Manufacturing Co. Ltd,14,500,500,1000,0.02,0.0,120.0,1.0,10.0,1.0,0.0,2.0,low,0.0,170.0,,,184.0,184.0,120.0,long,high,Low,0.0007521844675941115,30.0,Inventory position currently adequate relative to projected demand and replenishment window.
2392,2026-03-08,RTC70016SET,Kit,high,2061,"Jiangmen Shun Ming Household Co., Ltd (Alibec)",35,1000,1000,1000,0.5,0.0,120.0,1.0,10.0,0.0,0.0,0.0,low,1.0,160.0,,,194.0,999.0,0.0,long,high,Low,3.295412323118951e-06,0.0,Inventory position currently adequate relative to projected demand and replenishment window.
2393,2026-03-08,RTC70025-1,Part,low,1913,Taizhou Oute Tools Manufacturing Co. Ltd,0,500,500,1000,0.02,0.0,120.0,1.0,10.0,0.0,0.0,0.0,low,0.0,75.0,,,75.0,999.0,0.0,long,high,Low,3.2853393367544354e-06,0.0,Inventory position currently adequate relative to projected demand and replenishment window.
2631,2026-03-08,LSW70021,Lawn Sweeper,high,1039,Zhejiang Saige Garden Machinery Co,1628,1000,1002,500,1.5,0.0,120.0,1.0,10.0,159.92857142857142,315.56403688579815,4478.0,high,788.0,191474.0,,,192314.0,1202.4993300580618,19191.42857142857,long,high,Low,5.173804322872358e-27,4797.857142857142,Inventory position currently adequate relative to projected demand and replenishment window.
2632,2026-03-08,LSW70026S,Lawn Sweeper,high,1039,Zhejiang Saige Garden Machinery Co,1949,1000,1002,500,1.5,0.0,120.0,1.0,10.0,8.927710843373495,60.18868363221432,741.0,high,76.0,62869.0,,,64742.0,7251.802968960863,1071.3253012048194,long,high,Low,1.2213974909938179e-158,267.83132530120486,Inventory position currently adequate relative to projected demand and replenishment window.
2685,2026-03-08,LS21-HK-2,Kit,med,2061,"Jiangmen Shun Ming Household Co., Ltd (Alibec)",130,250,251,1000,0.5,0.0,120.0,1.0,10.0,1.0,0.0,3.0,low,1.0,200.0,,,329.0,329.0,120.0,long,high,Low,0.0005579150701132362,30.0,Inventory position currently adequate relative to projected demand and replenishment window.
2693,2026-03-08,LS21-HBK-2,Kit,high,2061,"Jiangmen Shun Ming Household Co., Ltd (Alibec)",29,1000,1000,1000,0.5,0.0,120.0,1.0,10.0,1.0588235294117647,0.24253562503633297,18.0,low,0.0,430.0,,,459.0,433.5,127.05882352941177,long,high,Low,0.0003804093210722113,31.764705882352942,Inventory position currently adequate relative to projected demand and replenishment window.
2696,2026-03-08,LS26-BK-1,Kit,high,2061,"Jiangmen Shun Ming Household Co., Ltd (Alibec)",20,1000,1000,1000,0.5,0.0,120.0,1.0,10.0,10.0,0.0,10.0,low,0.0,415.0,,,435.0,43.5,1200.0,long,high,Low,0.0007673421831727636,300.0,Inventory position currently adequate relative to projected demand and replenishment window.
2704,2026-03-08,RM16-HK-1,Kit,high,2061,"Jiangmen Shun Ming Household Co., Ltd (Alibec)",51,1000,1000,1000,0.5,0.0,120.0,1.0,10.0,1.0,0.0,1.0,low,0.0,1130.0,,,1181.0,1181.0,120.0,long,high,Low,2.892507301474865e-07,30.0,Inventory position currently adequate relative to projected demand and replenishment window.
2726,2026-03-08,RM-WK8.5-1,Kit,high,2061,"Jiangmen Shun Ming Household Co., Ltd (Alibec)",7,1000,1000,1000,0.5,0.0,120.0,1.0,10.0,0.0,0.0,0.0,low,0.0,0.0,,,7.0,999.0,0.0,long,high,Low,3.2776717951447137e-06,0.0,Inventory position currently adequate relative to projected demand and replenishment window.
2728,2026-03-08,RM-WK10A-1,Kit,high,2061,"Jiangmen Shun Ming Household Co., Ltd (Alibec)",39,1000,1000,1000,0.5,0.0,120.0,1.0,10.0,1.0,0.0,2.0,low,0.0,305.0,,,344.0,344.0,120.0,long,high,Low,0.0005354527347270165,30.0,Inventory position currently adequate relative to projected demand and replenishment window.
2732,2026-03-08,RM-GPK-1,Kit,high,2061,"Jiangmen Shun Ming Household Co., Ltd (Alibec)",444,1000,1000,1000,0.5,0.0,120.0,1.0,10.0,5.166666666666667,14.121764848072015,62.0,high,1.0,4125.0,,,4568.0,884.1290322580645,620.0,long,high,Low,1.3454580380473212e-05,155.0,Inventory position currently adequate relative to projected demand and replenishment window.
2734,2026-03-08,RM-APK-1,Kit,high,2061,"Jiangmen Shun Ming Household Co., Ltd (Alibec)",81,1000,1000,1000,0.5,0.0,120.0,1.0,10.0,0.0,0.0,0.0,low,0.0,245.0,,,326.0,999.0,0.0,long,high,Low,3.305313105208041e-06,0.0,Inventory position currently adequate relative to projected demand and replenishment window.
2745,2026-03-08,BVM22-VTK-1,Kit,med,2061,"Jiangmen Shun Ming Household Co., Ltd (Alibec)",0,250,250,1000,0.5,0.0,120.0,1.0,10.0,0.0,0.0,0.0,low,0.0,0.0,,,0.0,999.0,0.0,long,high,Low,3.2770019659521374e-06,0.0,Inventory position currently adequate relative to projected demand and replenishment window.
2756,2026-03-08,CVPH43-PCK,Kit,high,2061,"Jiangmen Shun Ming Household Co., Ltd (Alibec)",15,1000,1000,1000,0.5,0.0,120.0,1.0,10.0,0.0,0.0,0.0,low,0.0,25.0,,,40.0,999.0,0.0,long,high,Low,3.2810901010090326e-06,0.0,Inventory position currently adequate relative to projected demand and replenishment window.
2766,2026-03-08,CS33/120-SCK,Kit,high,2061,"Jiangmen Shun Ming Household Co., Ltd (Alibec)",11,1000,1000,1000,0.5,0.0,120.0,1.0,10.0,0.0,0.0,0.0,low,0.0,0.0,,,11.0,999.0,0.0,long,high,Low,3.278007149469457e-06,0.0,Inventory position currently adequate relative to projected demand and replenishment window.
2767,2026-03-08,CS33/120-CWK,Kit,high,2061,"Jiangmen Shun Ming Household Co., Ltd (Alibec)",7,1000,1000,1000,0.5,0.0,120.0,1.0,10.0,1.0,0.0,1.0,low,0.0,0.0,,,7.0,7.0,120.0,long,high,Low,0.0007262867599709286,30.0,Inventory position currently adequate relative to projected demand and replenishment window.
2795,2026-03-08,RTC70040-U,Kit,high,2061,"Jiangmen Shun Ming Household Co., Ltd (Alibec)",2,1000,1000,1000,0.5,0.0,120.0,1.0,10.0,0.0,0.0,0.0,low,0.0,10.0,,,12.0,999.0,0.0,long,high,Low,3.2783176488301186e-06,0.0,Inventory position currently adequate relative to projected demand and replenishment window.
2807,2026-03-08,RTC01/85-HDW,Kit,high,2061,"Jiangmen Shun Ming Household Co., Ltd (Alibec)",10,1000,1000,1000,0.5,0.0,120.0,1.0,10.0,0.0,0.0,0.0,low,0.0,0.0,,,10.0,999.0,0.0,long,high,Low,3.2779265439319758e-06,0.0,Inventory position currently adequate relative to projected demand and replenishment window.
2808,2026-03-08,RTC10/16-HDW,Kit,high,2061,"Jiangmen Shun Ming Household Co., Ltd (Alibec)",0,1000,1000,1000,0.5,0.0,120.0,1.0,10.0,0.0,0.0,0.0,low,0.0,25.0,,,25.0,999.0,0.0,long,high,Low,3.2797847671175045e-06,0.0,Inventory position currently adequate relative to projected demand and replenishment window.
2815,2026-03-08,CVPS41-OTC,Kit,high,2061,"Jiangmen Shun Ming Household Co., Ltd (Alibec)",31,1000,1000,1000,0.5,0.0,120.0,1.0,10.0,0.0,0.0,0.0,low,0.0,50.0,,,81.0,999.0,0.0,long,high,Low,3.2847244564913247e-06,0.0,Inventory position currently adequate relative to projected demand and replenishment window.
2826,2026-03-08,CVPS43-SCK,Kit,high,2061,"Jiangmen Shun Ming Household Co., Ltd (Alibec)",8,1000,1000,1000,0.5,0.0,120.0,1.0,10.0,1.0,0.0,2.0,low,0.0,0.0,,,8.0,8.0,120.0,long,high,Low,0.0007273058430782494,30.0,Inventory position currently adequate relative to projected demand and replenishment window.
2848,2026-03-08,SN1416-AHK-1,Kit,high,2061,"Jiangmen Shun Ming Household Co., Ltd (Alibec)",9,1000,1000,1000,0.5,0.0,120.0,1.0,10.0,0.0,0.0,0.0,low,0.0,175.0,,,184.0,999.0,0.0,long,high,Low,3.297243078805622e-06,0.0,Inventory position currently adequate relative to projected demand and replenishment window.
